"city","census_tract","ses_percentile","ses_score","pop_black","pop_female","pop_native_american","pop_non_citizen","pop_snap","pop_pacific_islander","avg_edu","median_income","median_rent","unemployed_percentage","percent_poverty_150"
"Pittsburgh",6037134103,40,-0.520520689116899,-0.376462999882085,0.665667311110527,-0.522269825452468,0.11534618093231,-0.0574525334641058,1.23935757718459,0.0302565492530217,0.336372071321669,-0.417370914286755,-0.431976253002783,-0.684341307316975
"Pittsburgh",6037134104,44,-0.160238659828141,-0.225921314747852,-0.385087354472885,-0.335086010268715,0.790906046487912,0.190510158480711,-0.180116281543498,0.0884858590997085,-0.267919420655306,-0.185145533204682,-0.914882523975725,-0.400649860758594
"Pittsburgh",6037134201,45,-0.0872000848561106,-0.563970143313374,0.318140120093582,0.487396423694825,0.0599622824813906,0.408311684944647,2.39268879785834,-0.219616268749614,-0.304660605414589,-0.346205071697087,-0.714411696464511,-0.43607357098737
"Pittsburgh",6037134302,27,-1.45233664311771,-0.581516122349732,0.38197704440593,-0.586360612434569,-1.08468540678145,-0.48607200997892,-0.547302736084111,0.616091327421987,0.248586298523857,0.646371153895644,1.21530658955492,-1.02092013996131
"Pittsburgh",6037134303,34,-0.909260747578035,-0.357772262969713,0.635478309088257,-0.128474886882034,0.387763547531973,-0.678334178272441,-0.547302736084111,0.0637551948528824,0.237449297497269,0.412272987482264,-0.271652592438609,-0.970789518195306
"Pittsburgh",6037134304,28,-1.39704953893108,-0.421355091021933,0.0650536919956012,-0.586360612434569,-0.178533104162133,-0.164346702547132,-0.547302736084111,0.203820135478992,-0.446220623365289,1.87117276057045,-0.517488106411481,-0.696130774501239
"Pittsburgh",6037134305,92,2.57915208155223,-0.516943960615829,-0.400849236997109,-0.586360612434569,1.10537736673835,1.36725878957921,0.210488961066112,-1.52010638155497,-0.649307112673659,-0.439844338262439,0.0788870072476355,1.4111622882105
"Pittsburgh",6037134306,46,-0.05639829724803,-0.0916801653284462,-0.362801922110643,-0.249938546031383,0.221025957698084,0.32691845985684,-0.419921472547577,0.10987713774693,-0.401017501551491,0.108881763810524,-0.36536295039959,-0.488314566514423
"Pittsburgh",6037134421,4,-3.47138545143529,-0.418286898238569,0.326389907089431,0.241438227386366,-1.03287123618918,0.301522760843362,0.114390938920553,1.31614181389646,0.755701997229623,3.70650238525135,-0.398049300983383,-1.60300648861631
"Pittsburgh",6037134422,8,-2.9034354116938,-0.491757948371383,0.520329401219577,-0.185495182292131,-0.790375403755012,0.00573075032548872,-0.112004004248126,0.927385298970814,0.785728225487581,2.52852041185922,-0.443013329543798,-1.45753009230336
"Pittsburgh",6037134423,18,-2.04655293731958,-0.154996194737627,0.507145246474244,-0.13283343913288,-1.23159715695468,-0.615915817059148,0.342526277337624,0.773336242688961,-0.404020124377287,1.69138536876497,-0.391413706425896,-0.794344008782842
"Pittsburgh",6037134424,7,-3.072324987835,-0.717263577661475,0.301478296273492,0.0663023054734772,-0.64505023818511,-0.502171164022008,-0.547302736084111,1.30616376480615,0.861721879551358,2.50791977321484,-0.0412885797363387,-1.30299935903108
